orig.ident,nCount_RNA,nFeature_RNA,novelty_score,RNA_snn_res.0.8,seurat_clusters
control,732,378,0.8998016509277676,3,3
control,1132,572,0.9029255710265712,3,3
control,1170,644,0.9154875206162455,3,3
control,1095,631,0.9212398342095974,6,6
control,1999,677,0.8575429281324622,9,9
control,2651,741,0.8382923565154612,4,4
control,616,289,0.8821748128761422,3,3
control,2439,913,0.8740140717684363,3,3
control,998,407,0.8701169800048305,0,0
control,1034,423,0.8712298800449295,0,0
control,1182,455,0.8650642056640596,0,0
control,2125,568,0.8277881617298397,4,4
control,1261,529,0.8783314803183533,0,0
control,1338,663,0.9024638203885401,0,0
control,1102,424,0.8636453068183587,0,0
control,1006,465,0.8883816514958158,11,11
control,992,380,0.8609289329956842,0,0
control,2900,883,0.8508440408541217,4,4
control,749,381,0.8978748655788021,3,3
control,2131,836,0.8779128784317912,0,0
control,1785,555,0.8439724216134961,0,0
control,539,284,0.8981287268837197,0,0
control,582,309,0.9005525626747714,3,3
control,1188,481,0.8722943720865007,0,0
control,808,366,0.8817056712303187,0,0
control,832,414,0.8961951427048577,0,0
control,1666,566,0.854467453635517,9,9
control,2399,912,0.8757302808482403,3,3
control,1192,494,0.8756453339297695,3,3
control,1199,559,0.8923589351944786,11,11
control,990,446,0.8843983618199104,0,0
control,759,330,0.8744106001638943,3,3
control,990,437,0.8814429212650369,3,3
control,3104,890,0.8446323398414811,9,9
control,864,404,0.8875767640407489,11,11
control,1233,510,0.8759632868471372,0,0
control,765,304,0.861014248531741,0,0
control,3179,955,0.850872692551297,12,12
control,1020,432,0.875983379762789,3,3
control,804,433,0.9074889965341032,3,3
control,699,244,0.8393070778333362,9,9
control,713,332,0.8836519349727295,0,0
control,2034,725,0.8645811919660107,4,4
control,1829,618,0.855550471878487,0,0
control,400,274,0.9368540967329047,6,6
control,1401,506,0.8594322851970504,9,9
control,1474,628,0.8830556622775544,7,7
control,987,468,0.8917712175857588,3,3
control,1194,536,0.8869551355284978,3,3
control,2771,924,0.8614536995148653,12,12
control,1474,585,0.8733337742801036,0,0
control,935,366,0.862889143159611,7,7
control,1046,400,0.8617429002841875,0,0
control,1380,536,0.8691942315590231,0,0
control,2801,811,0.8438516497864303,12,12
control,655,288,0.873288978386336,0,0
control,1472,568,0.8694534376963867,9,9
control,2755,904,0.8593209111375647,4,4
control,2041,685,0.8567447360651115,12,12
control,1020,478,0.8905895578151793,7,7
control,2593,914,0.8673454838670398,9,9
control,1094,501,0.8883916871170585,3,3
control,873,431,0.895771680058709,7,7
control,1594,587,0.8645271511214265,7,7
control,991,407,0.871004758283737,7,7
control,1094,643,0.924052308816229,6,6
control,681,362,0.9031329717310961,5,5
control,1923,677,0.8619386493302829,12,12
control,1552,545,0.8575648267112246,0,0
control,4554,1493,0.8676103920286815,13,13
control,252,166,0.9245055334740255,0,0
control,2022,864,0.8882964746060388,7,7
control,1271,497,0.8686307857735934,0,0
control,1683,585,0.8577444873117244,0,0
control,1493,492,0.8481141710737954,4,4
control,1235,419,0.8481553993142678,0,0
control,1627,478,0.8343520837781614,0,0
control,3708,1024,0.843424519123114,9,9
control,3689,1118,0.854645324063273,12,12
control,4299,1124,0.8396525695007974,4,4
control,3362,1046,0.856216652309598,4,4
control,982,501,0.9023185589465192,11,11
control,267,150,0.8967983350021349,16,16
control,1180,492,0.8763243823704244,0,0
control,3149,980,0.85508245757892265,11,11
control,2728,956,0.8674600985374192,12,12
control,3040,844,0.8402092055243495,4,4
control,1842,776,0.8850246233506263,6,6
control,444,224,0.8877627622694905,0,0
control,1121,493,0.8830148095726484,7,7
control,453,251,0.9034582078563693,0,0
control,1301,453,0.8528778747304804,9,9
control,1935,748,0.8744084456814548,3,3
control,2640,969,0.8727847643612944,12,12
control,479,302,0.9252598902432898,3,3
control,2494,631,0.8242904666555095,4,4
control,718,376,0.9016371293341285,3,3
control,5778,1692,0.8582113978067705,14,14
control,841,378,0.8812552408921297,9,9
control,1244,485,0.8678182926707887,0,0
control,916,323,0.8471610644732992,9,9
control,397,198,0.8837438740385842,9,9
control,835,409,0.8939095039535497,7,7
control,2538,838,0.8586433297065262,0,0
control,1507,616,0.8777474214088387,0,0
control,3727,1046,0.8454852487424752,4,4
control,2715,782,0.8425744569352385,4,4
control,930,354,0.8586888677489313,0,0
control,1240,449,0.8573827337297617,0,0
control,2586,752,0.8428159769739115,4,4
control,1097,485,0.8834076323110913,0,0
control,2859,946,0.861026256659595,4,4
control,1421,500,0.856110852720479,0,0
control,1183,521,0.8841038758975267,0,0
control,3616,1011,0.8444514515086078,4,4
control,1189,524,0.8842830816328783,0,0
control,2262,665,0.8415048060642885,9,9
control,1074,569,0.9089766990218991,3,3
control,1037,513,0.8986459498629767,3,3
control,1283,564,0.8851603850512343,7,7
control,998,414,0.8725863396388064,0,0
control,1037,442,0.8771937476330667,0,0
control,2350,895,0.875634414943727,7,7
control,683,340,0.8931203874407927,3,3
control,1017,498,0.8968877565722886,3,3
control,2934,937,0.8570364177340374,4,4
control,1134,525,0.8905086355694084,0,0
control,1317,567,0.8826758606843047,7,7
control,2975,895,0.8498154911060573,4,4
control,629,303,0.8866568010340226,0,0
