orig.ident,nCount_RNA,nFeature_RNA
control,884,394
control,1814,637
control,992,500
control,1206,552
control,1392,570
control,1409,610
control,1299,571
control,3561,1038
control,1097,493
control,1677,555
control,284,125
control,1617,576
control,859,324
control,1337,512
control,142,105
control,959,423
control,2148,720
control,1576,515
control,850,414
control,2139,890
control,1056,478
control,1843,691
control,1039,441
control,926,466
control,4634,1325
control,517,242
control,755,369
control,820,433
control,1023,478
control,964,406
control,1912,601
control,700,412
control,2003,569
control,915,455
control,817,391
control,1068,445
control,4043,1080
control,2587,893
control,643,376
control,723,339
control,434,258
control,3478,1043
control,1614,589
control,1662,532
control,932,432
control,1240,462
control,6892,1271
control,3428,1077
control,1121,459
control,1432,602
control,994,424
control,2190,677
control,1845,786
control,1318,583
control,781,426
control,589,335
control,1353,545
control,661,296
control,1460,498
control,1322,562
control,322,166
control,1368,530
control,2214,770
control,1126,464
control,1558,555
control,2838,791
control,1207,441
control,648,320
control,1025,521
control,1726,640
control,370,198
control,3507,866
control,2870,848
control,983,501
control,1391,507
control,1402,549
control,840,440
control,699,379
control,943,415
control,1122,466
control,887,443
control,646,297
control,1824,661
control,501,295
control,987,380
control,2692,858
control,1240,451
control,2789,916
control,2282,628
control,500,309
control,1517,579
control,1110,558
control,491,288
control,4184,1222
control,3044,846
control,3307,1039
control,1137,475
control,1877,603
control,847,410
control,1789,634
control,907,412
control,3031,794
control,1493,557
control,941,455
control,1844,667
control,1929,747
control,2771,873
control,592,358
control,758,473
control,1351,509
control,1556,607
control,892,419
control,2003,788
control,719,400
control,1312,470
control,2954,786
control,2562,636
control,538,335
control,2460,742
control,2855,743
control,1174,551
control,673,350
control,1083,416
control,2233,727
control,729,355
control,848,400
control,1638,498
control,2794,778
control,4363,1101
control,2768,911
control,2402,923
control,709,331
control,1202,622
control,969,360
control,968,396
control,1259,467
control,1072,397
control,2759,850
control,1108,526
control,1768,718
control,945,417
control,831,429
control,1565,573
control,1025,450
control,3844,1061
control,2540,795
control,2161,707
control,1219,505
control,1025,422
control,2449,887
control,233,170
control,636,357
control,1090,437
control,823,369
control,1552,625
control,1155,443
control,1156,512
control,2879,912
control,1270,506
control,1041,415
control,3303,855
control,734,483
control,3027,955
control,1292,640
control,4228,1105
control,3283,1313
control,1626,776
control,533,312
control,2108,761
control,240,159
control,2276,999
control,2246,822
control,925,462
control,1204,487
control,1176,481
control,1560,880
control,1570,580
control,2229,752
control,1057,495
control,1251,514
control,1449,495
control,872,453
control,2403,868
control,1808,563
control,1671,553
control,1395,586
control,1141,472
control,2371,800
control,3133,1095
control,3618,1274
control,1773,616
control,1973,1000
control,1020,466
control,649,318
control,931,432
control,1325,550
control,360,240
control,1302,509
control,1372,732
control,986,486
control,614,264
control,1521,579
control,1489,676
control,555,256
control,1554,584
control,1265,441
control,3520,937
control,4571,1352
control,3292,959
control,1167,412
control,976,467
control,1757,877
control,872,392
control,3580,1255
control,1230,623
control,2188,646
control,1237,760
control,949,447
control,3350,932
control,436,213
control,828,390
control,1576,607
control,2996,938
control,2491,858
control,1660,776
control,2465,768
control,838,422
control,883,431
control,1305,535
control,756,385
control,976,442
control,1650,698
control,735,498
control,690,374
control,1648,592
control,3467,1119
control,1369,557
control,881,435
control,806,424
control,2012,682
control,540,366
control,1567,526
control,603,340
control,527,271
control,1210,528
control,1716,628
control,710,357
control,1229,493
control,911,441
control,2493,778
control,1436,611
control,974,454
control,1187,460
control,466,229
control,1608,589
control,3726,1149
control,710,369
control,969,377
control,909,452
control,3364,1204
control,645,410
control,2479,863
control,1601,541
control,1666,579
control,973,458
control,1241,478
control,1204,512
control,238,106
control,1530,609
control,425,242
control,2417,1025
control,4326,1029
control,1748,684
control,1051,512
control,1248,472
control,2060,695
control,1191,550
control,1242,537
control,1047,413
control,3023,1085
control,2354,659
control,1373,503
control,822,411
control,2321,1022
control,3287,1159
control,1032,473
control,1140,489
control,1694,727
control,416,204
control,475,278
control,601,333
control,2846,901
control,2527,979
control,1516,567
control,1420,549
control,1593,549
control,3144,843
control,1462,499
control,1570,860
control,2456,958
control,1097,437
control,1250,492
control,997,372
control,1318,563
control,1483,504
control,1644,592
control,1289,559
control,3684,958
control,1206,479
control,621,292
control,1244,539
control,263,119
control,982,564
control,4760,1294
control,1178,452
control,2701,819
control,1113,510
control,2238,808
control,1306,667
control,3630,1333
control,1207,496
control,808,382
control,2890,957
control,1572,527
control,1004,485
control,919,428
control,3211,916
control,844,443
control,1501,547
control,2031,549
control,1541,599
control,2326,946
control,1797,546
control,1394,501
control,412,213
control,1085,510
control,1733,556
control,754,338
control,1202,463
control,1316,544
control,5142,172
control,412,235
control,1282,638
control,1257,658
control,1173,515
control,1464,556
control,1079,495
control,931,453
control,4641,1304
control,1442,585
control,3468,1197
control,997,484
control,470,280
control,905,505
control,1129,504
control,760,406
control,358,210
control,1439,501
control,2644,767
control,1578,585
control,1276,502
control,1586,776
control,2387,696
control,1780,757
control,2222,692
control,1482,647
control,3519,1020
control,844,400
control,1046,473
control,2803,842
control,1932,781
control,2757,804
control,3071,1008
control,1072,544
control,925,414
control,994,470
control,1212,449
control,2003,740
control,238,157
control,1758,639
control,624,310
control,398,237
control,1200,517
control,807,375
control,3064,862
control,474,246
control,1185,527
control,1342,452
control,854,384
control,2488,799
control,4471,1184
control,793,417
control,953,483
control,1021,470
control,1204,454
control,2998,858
control,2756,984
control,1234,513
control,1707,590
control,1475,586
control,646,282
control,1084,587
control,988,425
control,809,378
control,844,426
control,1320,532
control,460,290
control,1547,459
control,1483,520
control,772,393
control,3029,871
control,3031,1014
control,1642,641
control,2313,677
control,948,411
control,841,463
control,1155,426
control,623,305
control,1242,569
control,926,443
control,2232,738
control,1328,448
control,3421,1220
control,2999,952
control,1352,739
control,904,469
control,844,431
control,1250,562
control,1740,705
control,1701,580
control,1101,443
control,1527,570
control,346,199
control,2718,1094
control,1091,482
control,2151,877
control,1245,573
control,2465,841
control,371,236
control,1094,488
control,3477,946
control,1336,570
control,2381,930
control,1145,428
control,758,338
control,457,238
control,2979,793
control,783,285
control,1731,606
control,1153,462
control,938,432
control,1948,711
control,4262,604
control,3643,1089
control,1093,389
control,2890,927
control,821,419
control,1174,450
control,1016,489
control,2128,777
control,1266,472
control,3262,913
control,927,458
control,433,332
control,2875,846
control,1316,498
control,1482,706
control,1637,420
control,985,380
control,1148,471
control,2246,787
control,912,485
control,615,351
control,1859,861
control,1393,569
control,1399,472
control,992,456
control,4293,1590
control,3128,823
control,2284,740
control,2147,713
control,545,299
control,2132,594
control,807,407
control,1797,699
control,2538,684
control,3105,885
control,580,284
control,1661,621
control,1105,578
control,2902,837
control,1766,638
control,3270,873
control,807,390
control,687,303
control,1003,425
control,1725,816
control,1228,502
control,1064,474
control,2053,684
control,1138,471
control,1503,571
control,782,392
control,1529,591
control,551,290
control,635,299
control,2628,804
control,2725,982
control,1842,724
control,518,244
control,3376,1075
control,1115,494
control,3570,912
control,3104,916
control,2766,954
control,2255,650
control,1182,554
control,1041,431
control,1378,585
control,215,153
control,1633,617
control,2034,814
control,1127,520
control,1677,584
control,2450,739
control,1243,487
control,1326,514
control,921,416
control,1885,760
control,1349,516
control,1446,594
control,502,227
control,1262,514
control,213,146
control,4584,1143
control,2088,651
control,1074,527
control,789,391
control,1103,567
control,2139,778
control,874,378
control,641,306
control,2003,837
control,1048,449
control,1523,603
control,1193,441
control,727,303
control,1034,458
control,1346,462
control,1658,546
control,1082,445
control,1206,413
control,1928,603
control,1609,633
control,857,437
control,1707,563
control,2733,689
control,2125,640
control,1327,578
control,1254,459
control,1023,458
control,3191,931
control,2594,983
control,1293,504
control,3096,824
control,744,421
control,976,499
control,700,419
control,1171,449
control,2693,899
control,4352,1411
control,3456,1034
control,1174,454
control,890,458
control,1229,590
control,1424,555
control,966,432
control,2682,828
control,600,361
control,2040,829
control,329,211
control,805,350
control,1306,492
control,1142,543
control,1348,554
control,1106,533
control,1167,502
control,3145,1124
control,4692,1188
control,3471,1066
control,2037,679
control,1780,606
control,1113,440
control,1340,511
control,832,374
control,1719,548
control,1196,474
control,1175,515
control,454,241
control,2061,836
control,946,476
control,1131,529
control,3601,1077
control,1613,585
control,2818,786
control,1114,440
control,1149,485
control,1362,645
control,705,353
control,1172,471
control,807,344
control,1303,528
control,6918,1650
control,855,394
control,4102,1074
control,1380,615
control,633,288
control,1430,518
control,3088,933
control,848,420
control,1382,559
control,1147,498
control,957,540
control,1390,586
control,1108,473
control,3340,1090
control,1616,580
control,2643,1069
control,1198,574
control,1046,411
control,1465,617
control,1695,912
control,2806,977
control,2632,892
control,5483,1359
control,1208,492
control,2444,835
control,1788,766
control,1581,599
control,1117,438
control,1263,571
control,690,314
control,789,364
control,3614,980
control,1000,456
control,2356,692
control,1095,558
control,1759,577
control,750,390
control,772,425
control,1289,528
control,1294,540
control,837,437
control,1076,498
control,1399,566
control,922,593
control,742,313
control,1208,466
control,787,344
control,1159,495
control,1522,576
control,1352,556
control,919,443
control,2584,959
control,3056,1097
control,1379,494
control,1844,678
control,1460,743
control,1315,519
control,2810,911
control,678,382
control,2622,840
control,3284,960
control,1808,559
control,1557,580
control,3165,1012
control,3244,886
control,1373,563
control,1120,428
control,1080,475
control,2507,850
control,991,441
control,3494,1028
control,1133,536
control,1861,532
control,1162,486
control,1056,574
control,1669,747
control,2569,843
control,1017,366
control,1739,553
control,1230,515
control,1328,481
control,837,405
control,871,460
control,752,367
control,1026,435
control,978,485
control,826,427
control,2080,779
control,2324,767
control,1920,576
control,190,119
control,905,492
control,1456,552
control,636,310
control,706,334
control,3549,1279
control,664,441
control,1530,620
control,1318,535
control,1311,555
control,806,388
control,3185,875
control,1452,514
control,1187,485
control,2145,880
control,2051,573
control,1278,525
control,2368,666
control,1041,524
control,801,418
control,1064,455
control,3601,1001
control,1480,585
control,470,247
control,1381,473
control,1301,457
control,1288,578
control,2670,866
control,561,293
control,1230,424
control,820,373
control,1347,533
control,2548,726
control,1049,412
control,824,409
control,3798,1050
control,1833,619
control,1849,704
control,1573,514
control,3471,1090
control,1586,810
control,1037,483
control,1162,548
control,1794,613
control,2070,727
control,1073,410
control,2070,764
control,767,377
control,1136,464
control,1500,525
control,1227,517
control,1252,680
control,1864,698
control,747,322
control,1861,626
control,1069,411
control,1212,469
control,1261,417
control,1102,476
control,984,521
control,1118,590
control,1083,552
control,1258,500
control,2781,805
control,952,394
control,2464,760
control,1016,427
control,982,516
control,2249,846
control,1573,584
control,1424,642
control,845,439
control,1123,482
control,903,442
control,1094,477
control,1322,558
control,1085,465
control,674,326
control,2059,974
control,943,480
control,1158,416
control,967,507
control,957,366
control,803,419
control,1067,465
control,1113,469
control,1087,397
control,301,195
control,801,425
control,874,456
control,494,246
control,4639,1457
control,599,374
control,2578,824
control,1075,414
control,2427,1071
control,1384,513
control,1236,552
control,644,374
control,1251,593
control,3628,975
control,880,490
control,1092,421
control,1130,476
control,3077,891
control,459,239
control,892,403
control,1974,899
control,1096,367
control,684,345
control,1180,608
control,1367,539
control,4336,1076
control,1256,525
control,2030,672
control,1199,477
control,1040,502
control,1403,509
control,1193,488
control,6013,874
control,744,420
control,934,438
control,628,296
control,1116,431
control,2267,818
control,1575,582
control,368,192
control,1115,483
control,2030,638
control,779,416
control,3431,993
control,974,383
control,844,396
control,475,279
control,3253,1149
control,1236,547
control,1449,542
control,968,410
control,2070,672
control,998,581
control,1816,642
control,1276,527
control,384,240
control,922,441
control,5761,1477
control,1302,390
control,2418,822
control,661,340
control,1661,588
control,3807,1093
control,1588,675
control,870,371
control,348,189
control,752,396
control,1172,471
control,2150,633
control,1546,714
control,905,418
control,1658,637
control,793,397
control,1065,412
control,722,418
control,3617,1527
control,2767,828
control,1460,681
control,1583,490
control,1004,456
control,2185,679
control,868,409
control,3364,1305
control,1477,566
control,1056,381
control,2610,794
control,864,408
control,938,493
control,832,441
control,495,260
control,611,339
control,1071,481
control,599,263
control,3845,1618
control,2797,982
control,1745,648
control,1040,399
control,2457,713
control,1808,602
control,1085,407
control,1074,451
control,1955,772
control,4070,1237
control,1076,420
control,771,466
control,2372,911
control,593,392
control,1491,565
control,2231,588
control,2208,831
control,2758,745
control,174,123
control,1190,406
control,923,329
control,2198,651
control,1084,512
control,1349,480
control,799,469
control,3359,847
control,1292,512
control,1279,516
control,817,372
control,955,507
control,430,248
control,1840,633
control,1184,485
control,1726,514
control,2072,711
control,1156,477
control,2829,785
control,620,310
control,580,297
control,1773,811
control,1111,495
control,1707,586
control,5375,1366
control,908,508
control,587,284
control,1434,581
control,1148,404
control,860,377
control,1529,559
control,1117,476
control,844,418
control,763,386
control,2885,851
control,1103,572
control,2766,897
control,368,232
control,1486,607
control,866,480
control,861,446
control,1298,507
control,2272,694
control,3333,1047
control,6608,1353
control,5247,1325
control,2595,777
control,718,351
control,846,402
control,753,353
control,2663,692
control,1356,537
control,341,159
control,1392,580
control,916,386
control,968,399
control,1138,403
control,2914,942
control,1411,542
control,1501,579
control,1416,570
control,2761,913
control,2594,922
control,3455,1022
control,5563,1521
control,737,337
control,3183,878
control,3204,899
control,1653,657
control,1075,524
control,875,410
control,1032,498
control,679,289
control,1449,522
control,781,399
control,2756,949
control,3254,1016
control,3414,1057
control,392,216
control,1712,650
control,1409,522
control,399,230
control,3246,1077
control,1228,479
control,381,176
control,1017,483
control,2138,655
control,2102,807
control,1142,498
control,1485,520
control,3607,1171
control,979,458
control,1039,429
control,1670,501
control,1757,789
control,1635,563
control,683,413
control,734,321
control,1770,690
control,1104,447
control,1851,619
control,276,172
control,2375,869
control,1535,568
control,1200,615
control,1166,494
control,2675,853
control,1053,446
control,945,433
control,2207,754
control,586,324
control,2542,754
control,1171,556
control,1483,570
control,2820,892
control,638,366
control,1266,505
control,1363,501
control,1452,652
control,1450,730
control,1190,476
control,1362,558
control,2324,722
control,1007,422
control,374,231
control,3504,898
control,685,326
control,786,392
control,1156,445
control,1140,476
control,1259,640
control,2721,863
control,2603,649
control,1973,643
control,1895,933
control,908,491
control,1976,835
control,1003,470
control,1777,509
control,685,402
control,6333,1355
control,1520,556
control,294,146
control,1163,481
control,5046,1367
control,1174,544
control,1658,514
control,1172,554
control,3403,1107
control,1343,482
control,1362,481
control,1160,440
control,1017,457
control,1047,524
control,1371,533
control,1657,532
control,3625,1034
control,2603,899
control,1896,871
control,3199,935
control,1230,518
control,3174,1002
control,1413,483
control,2463,698
control,1338,571
control,725,398
control,1221,690
control,740,487
control,629,357
control,1129,465
control,1015,530
control,1282,492
control,1582,564
control,2839,1163
control,2438,734
control,4846,1270
control,1631,536
control,939,425
control,605,326
control,1114,489
control,1367,586
control,3307,1245
control,1093,552
control,2855,785
control,4112,1191
control,1037,526
control,893,453
control,1038,499
control,4485,1373
control,1397,505
control,2480,862
control,1046,415
control,1058,458
control,2972,926
control,2290,757
control,1066,469
control,988,477
control,2576,672
control,1046,423
control,1212,555
control,957,494
control,949,500
control,3164,1058
control,1281,503
control,1174,487
control,1054,478
control,1208,482
control,1670,618
control,2486,794
control,964,542
control,2999,1012
control,1058,434
control,2938,835
control,1478,490
control,789,372
control,767,435
control,1898,801
control,2171,966
control,758,366
control,1261,491
control,1505,571
control,1449,495
control,1617,575
control,708,370
control,1434,701
control,1422,552
control,1490,511
control,1754,583
control,1472,641
control,1610,675
control,1621,499
control,793,378
control,2096,899
control,2879,820
control,758,428
control,1002,428
control,1110,573
control,2224,863
control,1383,550
control,2546,862
control,3601,1023
control,1122,491
control,944,483
control,870,455
control,1334,519
control,1148,527
control,1685,785
control,1138,435
control,938,459
control,1132,515
control,588,372
control,822,380
control,538,327
control,1120,524
control,943,414
control,934,501
control,2518,841
control,1000,601
control,1904,637
control,1343,512
control,715,363
control,2591,738
control,477,322
control,3194,1054
control,288,187
control,1413,626
control,2622,806
control,1152,413
control,1150,531
control,765,392
control,588,337
control,582,321
control,2827,754
control,817,410
control,413,225
control,1173,548
control,1118,482
control,930,492
control,6187,817
control,911,400
control,835,417
control,1292,608
control,883,554
control,661,377
control,1417,555
control,645,348
control,2595,871
control,1889,589
control,2085,726
control,1084,513
control,1158,508
control,1058,539
control,1411,493
control,1319,482
control,1392,539
control,408,253
control,1033,400
control,2875,971
control,2246,1022
control,715,249
control,2107,705
control,1064,462
control,845,463
control,359,200
control,228,117
control,1179,427
control,969,448
control,1378,560
control,1665,664
control,432,128
control,1236,607
control,1691,627
control,1605,521
control,2007,694
control,1163,419
control,676,384
control,850,377
control,1008,474
control,1111,430
control,1507,567
control,888,412
control,2334,860
control,902,490
control,1017,384
control,1641,874
control,1117,645
control,1477,563
control,1029,490
control,1147,511
control,1048,518
control,500,277
control,1314,541
control,986,507
control,1795,780
control,637,344
control,1269,515
control,1376,544
control,1111,525
control,1246,628
control,710,538
control,1782,668
control,173,102
control,1545,569
control,847,440
control,664,300
control,1664,532
control,1226,490
control,5312,1538
control,1192,626
control,337,183
control,2116,673
control,1261,509
control,1048,441
control,512,292
control,1249,547
control,5485,1347
control,1295,598
control,3109,1201
control,1286,579
control,1203,562
control,713,311
control,1746,617
control,2074,721
control,463,300
control,1091,467
control,1412,563
control,6551,1547
control,2668,853
control,1639,659
control,1619,717
control,3210,887
control,630,303
control,1994,689
control,2195,792
control,1841,893
control,1150,468
control,1000,446
control,868,434
control,4880,1309
control,2326,866
control,3158,1167
control,835,435
control,976,528
control,1226,471
control,949,439
control,3314,1008
control,6006,1680
control,1031,495
control,2321,904
control,781,411
control,1592,613
control,1280,639
control,1490,544
control,780,403
control,1065,478
control,497,278
control,2087,598
control,1381,525
control,2977,1039
control,346,210
control,866,442
control,1090,469
control,659,325
control,2193,724
control,412,248
control,860,363
control,2268,928
control,2132,722
control,1177,548
control,1454,526
control,799,434
control,2414,660
control,974,381
control,3085,980
control,1540,525
control,1279,597
control,1190,606
control,1061,455
control,304,217
control,4042,1128
control,324,184
control,1628,624
control,1211,460
control,1911,784
control,1786,702
control,964,489
control,909,500
control,5409,1462
control,1083,438
control,1141,584
control,1672,547
control,3099,1070
control,1478,574
control,4489,1396
control,1218,550
control,1143,477
control,1073,439
control,1522,589
control,2862,981
control,2087,605
control,2600,843
control,587,370
control,1404,524
control,1471,532
control,3212,893
control,1235,508
control,1627,617
control,1467,548
control,2865,1235
control,1066,514
control,736,404
control,2948,820
control,1874,837
control,3698,1027
control,894,478
control,1208,480
control,1060,486
control,5967,904
control,1336,464
control,1244,519
control,985,441
control,989,448
control,3401,919
control,1505,554
control,494,265
control,974,513
control,1366,531
control,1720,875
control,2455,726
control,1156,469
control,1427,470
control,1162,490
control,1031,418
control,769,368
control,3206,848
control,811,398
control,1305,547
control,662,323
control,1234,525
control,761,477
control,877,416
control,1399,511
control,1685,545
control,971,483
control,1942,638
control,3529,1031
control,2908,1029
control,2428,755
control,1084,395
control,1220,535
control,5030,1220
control,1197,538
control,2707,856
control,926,542
control,1287,427
control,1097,439
control,1209,514
control,611,273
control,3035,850
control,3285,1252
control,498,264
control,959,392
control,2622,756
control,1799,647
control,826,378
control,3122,949
control,1199,594
control,1593,578
control,1605,565
control,552,280
control,1749,706
control,1397,583
control,1519,708
control,1607,516
control,1037,504
control,3426,930
control,653,336
control,819,407
control,1294,503
control,916,418
control,1102,408
control,220,113
control,1600,691
control,2422,897
control,1315,551
control,713,323
control,955,523
control,997,385
control,2953,831
control,1368,657
control,3160,810
control,2803,1116
control,1050,456
control,1709,541
control,1494,861
control,2050,876
control,955,547
control,1002,413
control,3227,858
control,426,269
control,2279,781
control,1732,554
control,1970,721
control,1413,515
control,1062,542
control,1775,679
control,2980,1303
control,1618,620
control,1047,513
control,862,412
control,1042,403
control,1098,396
control,3096,1043
control,812,429
control,822,437
control,1294,561
control,1265,693
control,1947,772
control,1448,526
control,808,467
control,4497,1152
control,1151,517
control,3230,1033
control,1532,718
control,2053,802
control,1477,716
control,4102,1022
control,963,473
control,315,190
control,2880,906
control,2282,715
control,529,316
control,1963,965
control,554,288
control,4186,1152
control,1118,460
control,822,269
control,583,286
control,2245,896
control,1212,465
control,1250,525
control,2739,928
control,576,343
control,1407,562
control,1423,664
control,595,305
control,1253,440
control,1783,569
control,1287,486
control,3743,1041
control,811,404
control,1520,765
control,4813,1219
control,3267,1023
control,752,408
control,1916,692
control,191,137
control,1323,470
control,3701,1007
control,617,285
control,1390,540
control,1264,504
control,934,409
control,1609,573
control,1029,480
control,586,328
control,1510,528
control,1146,525
control,1685,734
control,935,516
control,824,429
control,1207,530
control,1117,527
control,1129,488
control,1068,456
control,880,387
control,573,206
control,1192,460
control,513,313
control,2122,596
control,2042,774
control,1261,651
control,1573,567
control,846,479
control,1639,638
control,2682,883
control,508,312
control,755,377
control,2369,807
control,1555,738
control,1605,584
control,1001,439
control,3353,988
control,2222,912
control,1771,662
control,982,415
control,2861,945
control,1141,422
control,1325,678
control,1337,564
control,913,418
control,1016,463
control,1859,714
control,491,305
control,863,420
control,544,275
control,1285,483
control,1649,649
control,1954,693
control,1655,737
control,2877,898
control,1047,484
control,1208,500
control,948,426
control,657,337
control,2925,861
control,1210,469
control,1589,570
control,739,363
control,1625,575
control,2416,732
control,1015,462
control,2419,869
control,1305,524
control,722,464
control,2056,692
control,1586,484
control,864,395
control,2375,857
control,1330,597
control,1356,553
control,1050,444
control,860,465
control,2538,872
control,2333,706
control,727,391
control,2347,771
control,1262,572
control,1439,610
control,1269,452
control,1152,594
control,1252,463
control,2629,832
control,1479,796
control,988,413
control,1868,597
control,893,368
control,2222,749
control,472,247
control,1239,420
control,2011,658
control,987,418
control,504,280
control,1851,618
control,1210,545
control,947,534
control,3570,932
control,1663,622
control,2313,945
control,3012,838
control,3045,841
control,1094,501
control,3308,1021
control,805,413
control,2974,1007
control,2230,842
control,4359,1243
control,965,491
control,2550,825
control,1688,578
control,2227,665
control,1412,539
control,1445,578
control,1322,463
control,1645,541
control,792,350
control,1378,590
control,2643,786
control,2481,879
control,1102,405
control,1128,544
control,2562,845
control,280,168
control,1395,733
control,3483,1013
control,1330,499
control,2403,895
control,3919,945
control,4158,1333
control,4045,1308
control,620,280
control,1926,640
control,1431,496
control,1559,656
control,1606,577
control,1328,393
control,781,370
control,2306,935
control,2159,842
control,2235,701
control,784,408
control,2283,718
control,1227,478
control,1514,563
control,959,443
control,5007,1331
control,894,385
control,968,403
control,1100,420
control,2784,945
control,1909,690
control,1552,599
control,1991,762
control,1174,482
control,817,278
control,797,356
control,2266,716
control,3570,1013
control,912,390
control,803,356
control,2406,766
control,4472,1242
control,1031,426
control,782,329
control,740,401
control,1087,565
control,503,336
control,993,461
control,1025,552
control,1888,638
control,1991,630
control,5127,1261
control,991,433
control,1950,700
control,3558,975
control,1100,572
control,1673,568
control,1640,598
control,3556,1117
control,895,535
control,1127,497
control,915,526
control,835,504
control,3648,1146
control,1129,434
control,3413,1005
control,420,282
control,3121,903
control,1592,528
control,965,431
control,871,393
control,823,403
control,1384,556
control,969,415
control,424,188
control,748,488
control,205,103
control,1724,632
control,2527,890
control,1163,506
control,1948,1017
control,3049,902
control,737,377
control,1243,562
control,2523,957
control,1501,523
control,2046,885
control,2231,704
control,2503,836
control,948,369
control,1406,518
control,1370,487
control,1201,506
control,913,448
control,902,515
control,966,435
control,1273,588
control,2458,798
control,2797,1229
control,1175,433
control,5383,952
control,1153,459
control,845,382
control,3657,1151
control,1623,545
control,1980,899
control,4328,1252
control,831,426
control,445,216
control,1415,513
control,430,244
control,2430,840
control,3848,989
control,1584,570
control,1437,570
control,2429,769
control,2602,791
control,2387,763
control,1494,602
control,595,248
control,1013,487
control,3776,1057
control,1522,545
control,1142,442
control,2314,717
control,638,306
control,489,263
control,3597,1002
control,3529,1001
control,1572,592
control,368,164
control,2207,819
control,2763,837
control,615,387
control,1123,403
control,864,443
control,480,227
control,1196,468
control,2964,903
control,501,254
control,3080,649
control,1064,538
control,1629,582
control,1618,539
control,1294,479
control,1041,447
control,4192,998
control,1167,484
control,1321,541
control,3530,923
control,519,292
control,2829,929
control,1118,474
control,930,384
control,616,350
control,1412,467
control,1958,595
control,1372,601
control,1754,729
control,1839,718
control,5882,1572
control,173,135
control,2031,674
control,2046,760
control,1266,449
control,1346,655
control,1042,487
control,644,369
control,1082,455
control,1034,435
control,1325,481
control,1397,562
control,1150,501
control,829,394
control,2704,935
control,1655,536
control,663,273
control,956,439
control,992,468
control,4342,1332
control,919,477
control,661,263
control,1200,443
control,390,244
control,1100,516
control,2629,942
control,1087,470
control,998,475
control,929,399
control,2164,658
control,924,412
control,2172,799
control,1223,609
control,3340,800
control,1293,503
control,1535,516
control,1362,514
control,2726,871
control,1355,433
control,3687,1096
control,938,438
control,1957,625
control,629,435
control,1170,532
control,382,236
control,4642,1285
control,3727,1031
control,557,302
control,1150,445
control,2303,782
control,1144,434
control,2827,839
control,1059,630
control,618,359
control,1335,520
control,980,429
control,3625,1063
control,1248,537
control,1344,532
control,902,408
control,1282,558
control,1235,466
control,2098,655
control,3953,1109
control,1542,528
control,2119,813
control,1682,841
control,787,413
control,1366,588
control,2614,834
control,842,346
control,2122,830
control,2436,878
control,3406,962
control,750,341
control,1711,599
control,1400,569
control,2252,827
control,495,261
control,683,268
control,1176,458
control,907,386
control,1018,554
control,574,373
control,1249,541
control,794,356
control,2513,916
control,1049,502
control,903,390
control,2257,681
control,1064,452
control,4310,442
control,881,378
control,348,223
control,822,394
control,1348,484
control,874,427
control,659,358
control,1362,659
control,1606,704
control,1027,533
control,948,456
control,1769,571
control,1289,517
control,730,411
control,1764,657
control,1055,537
control,904,482
control,2267,839
control,4072,1094
control,1491,647
control,1161,481
control,3588,901
control,4861,1349
control,2445,944
control,1349,647
control,2403,660
control,1465,518
control,1029,483
control,1474,541
control,3499,929
control,1036,462
control,2355,787
control,1542,513
control,1280,478
control,1663,688
control,2274,624
control,318,136
control,690,338
control,3258,1111
control,1081,415
control,1332,557
control,2349,842
control,1911,671
control,1711,520
control,1179,576
control,1141,539
control,5354,1637
control,1449,516
control,1031,422
control,1689,576
control,1120,523
control,974,434
control,3315,1082
control,1066,484
control,1692,588
control,1081,573
control,940,428
control,1220,520
control,1221,531
control,1363,471
control,314,193
control,1319,556
control,1319,527
control,976,423
control,1965,589
control,742,377
control,1677,643
control,306,194
control,1429,552
control,2197,867
control,1354,555
control,1146,473
control,848,464
control,1895,672
control,2641,841
control,1247,476
control,2986,898
control,2482,774
control,964,443
control,951,420
control,1707,636
control,1025,465
control,746,405
control,1159,634
control,1153,516
control,902,440
control,578,281
control,991,412
control,367,195
control,985,442
control,1592,558
control,2986,1104
control,2073,656
control,1110,370
control,1451,615
control,1070,391
control,1274,470
control,2360,562
control,1810,777
control,945,406
control,1211,475
control,1619,564
control,1743,628
control,559,291
control,1102,403
control,1473,495
control,966,484
control,1251,470
control,1581,726
control,878,402
control,832,477
control,1220,508
control,1733,628
control,3898,1295
control,973,440
control,2314,746
control,2226,679
control,1973,618
control,176,106
control,715,369
control,1431,566
control,1393,619
control,920,437
control,1467,556
control,2814,796
control,1368,519
control,1402,547
control,3940,717
control,3138,935
control,1241,509
control,1697,539
control,1025,451
control,1161,423
control,528,295
control,901,503
control,1464,538
control,1942,583
control,1272,566
control,310,164
control,813,465
control,809,437
control,1046,495
control,3316,991
control,762,488
control,3072,866
control,376,220
control,1580,646
control,1522,537
control,1252,529
control,1479,467
control,1379,491
control,902,552
control,875,394
control,230,117
control,1174,443
control,1005,444
control,645,357
control,1365,578
control,764,444
control,1321,489
control,2348,743
control,1005,432
control,1247,497
control,3641,985
control,1120,450
control,573,377
control,1351,464
control,1255,458
control,4518,1278
control,1127,509
control,2910,1090
control,1085,437
control,1478,671
control,1307,488
control,952,452
control,915,484
control,1963,619
control,1163,504
control,3484,1164
control,3685,1034
control,2503,1024
control,2874,993
control,626,335
control,4095,1392
control,1459,547
